Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Month_num,Date
2005,Qtr 3,September,9,Unknown,Antonov,Antonov AN 26A9Q,near brazzaville congo,Kasai Air,0,14,14,9,2005-09-09
2005,Qtr 4,October,4,Unknown,Antonov,Antonov 12V9Q CWC,aru democratic,Airways Dira CogoWimbi Republic,0,2,100,10,2005-10-04
2005,Qtr 4,October,22,Unknown,Boeing,Boeing B 737,lisa nigeria,Airlines Bellview,0,117,117,10,2005-10-22
2005,Qtr 4,December,6,Unknown,Lockheed,Lockheed C 130B Hercules5,tehran iran,Force Air Iran of Republic Islamic - Military,14,94,94,12,2005-12-06
2005,Qtr 4,December,8,United States,Boeing,Boeing B 737,chicago illinois,Airlines Southwest,1,0,103,12,2005-12-08
2005,Qtr 4,December,10,Unknown,McDonnell,McDonnell DC 9,near port harcourt nigeria,Airlines Sosoliso,0,108,110,12,2005-12-10
2005,Qtr 4,December,19,United States,Grumman,Grumman G73T Turbo MallardN2969,off miami beach florida,Airways Ocean Chalk's,0,20,20,12,2005-12-19
2005,Qtr 4,December,23,Unknown,Antonov,Antonov AN 140,nardaran azerbaijan,Airlines Azerbaijan,0,23,23,12,2005-12-23
2006,Qtr 1,January,2,Unknown,British,British Aerospace BAe 125,near karkovevolga,Unknown,0,3,3,1,2006-01-02
2006,Qtr 1,January,7,Unknown,Unknown,UH  60L Black Hawk91,near tal afar iraq,Army US - Military,0,12,12,1,2006-01-07
2006,Qtr 1,January,8,Unknown,Antonov,Antonov 129Q CIH,bukalaza uganda,Air Service,0,6,6,1,2006-01-08
2006,Qtr 1,January,9,Unknown,Dassault,Dassault Falcon 2015 2233,near orumiyeh iran,Force Air Corps Guard Revolutionary Iranian - Military,0,11,11,1,2006-01-09
2006,Qtr 1,January,19,Unknown,Antonov,Antonov AN 24V5605,near telkibanya hungary,Force Air Slovak - Military,0,42,43,1,2006-01-19
2006,Qtr 1,February,5,United States,Short Brothers,Shorts 360 100 /Shorts 360,near watertown wisconson,Carriers Cargo Air,0,3,3,2,2006-02-05
2006,Qtr 1,February,8,United States,Swearingen,Swearingen SA.226TC Metro IIN629EK,near paris tennessee,Air Tri,0,1,1,2,2006-02-08
2006,Qtr 1,March,31,Brazil,LET,Let L410UVP E20PT,rio bonito brazil,Air Team,0,19,19,3,2006-03-31
2006,Qtr 2,April,10,Unknown,Harbin Yunshuji,Harbin Yunshuji Y 12,marsabit kenya,Force Air Kenya - Military,0,14,17,4,2006-04-10
2006,Qtr 2,April,23,Unknown,Antonov,Antonov 74TK 200UR,kousséri cameroon,Force Air Arab Lybian - Military,0,6,6,4,2006-04-23
2006,Qtr 2,April,24,Unknown,Antonov,Antonov AN 32BZS,lashkar gah afghanistan,(leased) Government U.S.,3,2,16,4,2006-04-24
2006,Qtr 2,May,3,Unknown,Airbus,Airbus A320 211EK,off adler russia,Armavia,0,113,113,5,2006-05-03
