Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Month_num,Date
1946,Qtr 1,March,17,China,Uknown,,near nanking china,Force Air Chinese - Military,0,20,20,3,1946-03-17
1946,Qtr 1,March,18,China,Unknown,139,between chungking and shanghai china,Corporation Aviation National China,0,0,0,3,1946-03-18
1946,Qtr 1,March,19,United States,Douglas,Douglas C 47B45,hobart mills california,Forces Air Army U.S. - Military,0,26,26,3,1946-03-19
1946,Qtr 1,March,23,Cocos (Keeling) Islands,Avro,Avro 691 Lancastrian 1G AGLX,off ceylon cocos,Indian Ocean          Islands British Overseas Airways /Qantas,0,10,10,3,1946-03-23
1946,Qtr 2,April,1,Unknown,De Hvilland 89A Dragon,de Hvilland 89A Dragon RapideG AERZ,near craigavad northern,Ltd. Services Air IrelandRailway,0,6,6,4,1946-04-01
1946,Qtr 2,April,5,Unknown,Vickers Wellington,Vickers Wellington bomberHE 274,rabat malta,Navy British Royal - Military,16,4,4,4,1946-04-05
1946,Qtr 2,April,8,China,Uknown,,near shensi china?,Unknown,0,14,14,4,1946-04-08
1946,Qtr 2,April,22,Unknown,Lockheed,Lockheed 14 Super ElectraAN ACC,la liberiad nicaragua,TACA,0,20,21,4,1946-04-22
1946,Qtr 2,April,30,Unknown,Douglas,Douglas C 47A FZ559,pindi-khut  -,Force Air Royal,0,12,12,4,1946-04-30
1946,Qtr 2,May,10,United States,Consolidated PBY Catalina,PBY4  2 Privateer / PB4Y,munson florida,Navy U.S. - Military / Navy U.S. Military,0,28,28,5,1946-05-10
1946,Qtr 2,May,16,United States,Douglas,Douglas DC 3NC53218,richmond virginia,Transport Air Viking,0,27,27,5,1946-05-16
1946,Qtr 2,May,22,Unknown,Junkers,Junkers JU 52/3mLN,oslo norway,Lines Air Norwegian DNL,0,13,14,5,1946-05-22
1946,Qtr 2,June,1,Unknown,Douglas,Douglas C 54,off amalfi italy,Forces Air Army U.S. - Military,0,30,38,6,1946-06-01
1946,Qtr 2,June,9,Unknown,Douglas,Douglas C 47 DakotaKG747,near abeokuta nigeria,Force Air -Royal Military,0,18,18,6,1946-06-09
1946,Qtr 2,June,9,Unknown,Douglas,Douglas C 54D,taboga island panama,Forces Air Army U.S. - Military,0,23,23,6,1946-06-09
1946,Qtr 2,June,29,Unknown,Junkers,Junkers Ju 52/3mF,pau france,France Air,0,2,3,6,1946-06-29
1946,Qtr 2,June,29,Unknown,Douglas,Douglas C 47BKJ918,off malayamilitary - royal air force,Unknown,0,18,18,6,1946-06-29
1946,Qtr 3,July,9,United States,Boeing,Boeing B17G43 39136,holyoke massachusetts,Forces Air Army U.S. - Military,0,25,25,7,1946-07-09
1946,Qtr 3,July,11,United States,Lockheed,Lockheed L 049 ConstellationNC86513,reading pennsylvania,Air Western and Continental Trans,0,5,6,7,1946-07-11
1946,Qtr 3,July,13,China,Curtiss,Curtiss C 46,tsinan china,Transport Air Central,0,13,49,7,1946-07-13
1946,Qtr 3,July,17,Unknown,Curtiss,Curtiss C 46D,cuenca ecuador,ANDESA,0,30,30,7,1946-07-17
1946,Qtr 3,July,18,United States,Douglas,Douglas C 47,goodland kansas,Corps Air Army U.S. - Military,0,13,13,7,1946-07-18
1946,Qtr 3,July,20,Unknown,Boeing,Boeing B 17G / Boeing B,off the panama coastmilitary -  (2) u.s. army air forces,Unknown,0,20,20,7,1946-07-20
1946,Qtr 3,July,25,Unknown,Douglas,Douglas C 47 DakotaKN585,bassein burma,Force Air -Royal Military,0,22,22,7,1946-07-25
1946,Qtr 3,July,26,Mexico,Fairchild,Fairchild Pilgrim 100AXA DEJ,near huatesco veracruz,Mexico Communicaciones Aereos de veracruz,0,9,9,7,1946-07-26
1946,Qtr 3,August,7,Unknown,Douglas,Douglas C 47A,oslo norway,Airways European British,0,3,16,8,1946-08-07
1946,Qtr 3,August,9,Unknown,Lockheed,Lockheed 18 56 Lodestar,lakehurst new,Airlines Central JerseyAtlantic,0,4,6,8,1946-08-09
1946,Qtr 3,August,14,Unknown,Douglas,Douglas C 47AG,malta-luqa malta,BOAC,0,1,5,8,1946-08-14
1946,Qtr 3,August,20,Unknown,Avro,Avro 691 Lancastrian 1G AGMF,rouen france,Airways Overseas British,0,8,9,8,1946-08-20
1946,Qtr 3,August,21,United States,Douglas,Douglas C 47,moline illinois,Airlines Luxury Trans,0,2,25,8,1946-08-21
1946,Qtr 3,August,24,Unknown,Avro,Avro AnsonSU ADJ,cairo egypt,Misrair,0,6,9,8,1946-08-24
1946,Qtr 3,August,31,United Kingdom,Supermarine,Supermarine Stranraer (flying boat)CF BYL,near prince rupert british,Canada          Columbia Queen Charlotte Airlines,0,7,7,8,1946-08-31
1946,Qtr 3,September,3,Unknown,Douglas,Douglas DC 3 (C,holtug denmark,France Air,0,22,22,9,1946-09-03
1946,Qtr 3,September,4,Unknown,Douglas,Douglas DC 3F,le bourget france,France Air,1,20,26,9,1946-09-04
1946,Qtr 3,September,5,United States,Douglas,Douglas DC 3 (C,elko nevada,Airlines Trans-Luxury,0,21,22,9,1946-09-05
1946,Qtr 3,September,7,United States,Douglas,Douglas C 47A,nome alaska,Airfreight McKinley Mt.,0,4,4,9,1946-09-07
1946,Qtr 3,September,7,Unknown,Avro,Avro 685 York IG AHEW,bathurst gambia,Airways American South British,0,24,24,9,1946-09-07
1946,Qtr 3,September,15,Canada,Douglas,Douglas C 47A Dakota962,estevan saskatchewan,Canada Military - Royal Canadian Air Force,0,21,21,9,1946-09-15
1946,Qtr 3,September,17,Unknown,Douglas,Douglas C 47,brussels belgium,Sabena,0,1,7,9,1946-09-17
1946,Qtr 3,September,18,Canada,Douglas,Douglas DC 4,near gander newfoundland,Sabena,0,27,44,9,1946-09-18
1946,Qtr 3,September,19,Unknown,Avro,Avro LancasterNX690,near tripoli libya,Force Air -Royal Military,0,25,25,9,1946-09-19
1946,Qtr 3,September,20,China,Curtiss,Curtiss Wright C 46,lochi mountain china,Corporation Aviation National China,0,28,28,9,1946-09-20
1946,Qtr 3,September,25,Unknown,Douglas,Douglas C 47B,near hong kong international airportmilitary - royal air force,Unknown,0,19,19,9,1946-09-25
1946,Qtr 3,September,27,Brazil,Douglas,Douglas DC 3A,rio doce brazil,Brasil do Panair,0,25,25,9,1946-09-27
1946,Qtr 3,September,27,United Kingdom,De Havilland,de Havilland 89A Dragon RapideG AFFF,near milngavie stirlingshire,Scotland Railway Air Service Ltd.,0,7,7,9,1946-09-27
1946,Qtr 4,October,3,Canada,Douglas,Douglas C 54E,stephenville newfoundland,Airlines Overseas American,0,39,39,10,1946-10-03
1946,Qtr 4,October,6,Malaysia,Avro,Avro 685 York 1MW125,off penang malaya,Force Air -Royal Military,0,21,21,10,1946-10-06
1946,Qtr 4,October,7,Unknown,Fairey,Fairey Firefly MK1PP526,apeldoorn the,Service Air Naval Netherlands Royal - NetherlandsMilitary,22,1,1,10,1946-10-07
1946,Qtr 4,October,8,United States,Douglas,Douglas DC 4N30051,cheyenne wyoming,Lines Air United,0,2,41,10,1946-10-08
1946,Qtr 4,October,10,Unknown,Junkers,Junkers Ju 52/3mF,near sefrou morocco,Ocean Air,0,16,16,10,1946-10-10
1946,Qtr 4,October,17,India,Douglas,Douglas C 47BKN236,near chitral india,Force Air Royal - Military,0,11,11,10,1946-10-17
1946,Qtr 4,October,17,United States,Douglas,Douglas DC 3NC38942,laramie wyoming,Services Transport Air National,0,13,13,10,1946-10-17
1946,Qtr 4,October,23,Unknown,Junkers,Junkers Ju 52/3mF,gebel kalamoun egypt,Socotra,0,1,24,10,1946-10-23
1946,Qtr 4,November,1,Unknown,Unknown,AAC  1 ToucanF,st leger-la-montagne france,Roussillon Languedoc CTA,0,23,27,11,1946-11-01
1946,Qtr 4,November,5,Unknown,Douglas,Douglas C 47SSSR,near moscow russia,Aeroflot,0,13,26,11,1946-11-05
1946,Qtr 4,November,11,United States,Douglas,Douglas DC 3 (C,cleveland ohio,Lines Air United,0,2,20,11,1946-11-11
1946,Qtr 4,November,13,United States,Douglas,Douglas C 53D,lebec california,Airlines Western,0,11,11,11,1946-11-13
1946,Qtr 4,November,13,Unknown,Douglas,Douglas DC 3XA,near cofre de perote mexico,Veracruz de Aéreas Commun. Empressa,0,15,15,11,1946-11-13
1946,Qtr 4,November,14,Unknown,Douglas,Douglas C 47A,amsterdam netherlands,Airlines Dutch Royal KLM,0,26,26,11,1946-11-14
1946,Qtr 4,November,16,Unknown,Douglas,Douglas C 47,north pacific oceanmilitary - u.s. army air forces,Unknown,0,23,23,11,1946-11-16
1946,Qtr 4,November,26,Unknown,Douglas,Douglas DC 3 (C,san jose costa,LACSA  Costarricenses Aéreas RicaLineas,0,22,22,11,1946-11-26
1946,Qtr 4,November,30,Unknown,Vickers Viking,Vickers 620 Viking 1T 1,el palomar argentina,Argentina Aérea Fuerza,0,5,18,11,1946-11-30
1946,Qtr 4,December,4,Unknown,Lisunov,Lisunov Li 2,meshed iran,Aeroflot,0,24,24,12,1946-12-04
1946,Qtr 4,December,10,Unknown,Curtiss,Curtiss  Wright C,near osaka japan,Forces Air Army U.S. - Military,0,24,24,12,1946-12-10
1946,Qtr 4,December,10,United States,Curtiss,Curtiss  Wright R5C,toledo washington,Corps Marine U.S. - Military,0,32,32,12,1946-12-10
1946,Qtr 4,December,14,Unknown,Douglas,Douglas DC 3 (C,mt. banahaur philippines,Transport Air Eastern Far,0,12,14,12,1946-12-14
1946,Qtr 4,December,17,Unknown,Douglas,Douglas C 47ANC88876,caribbean atlantic,Inc. Cargo OceanWinged,0,7,7,12,1946-12-17
1946,Qtr 4,December,23,Brazil,Avro,Avro  685 York ILV XIG,near rio de janeiro brazil,FAMA,0,21,21,12,1946-12-23
1946,Qtr 4,December,24,United States,Douglas,Douglas DC 3 ( C,near san diego california,Airlines Western,0,12,12,12,1946-12-24
1946,Qtr 4,December,25,China,Douglas,Douglas C 47,shanghai china,CATA,5,11,11,12,1946-12-25
1946,Qtr 4,December,25,China,Douglas,Douglas DC 3,near shanghai china,CNAC,0,20,30,12,1946-12-25
1946,Qtr 4,December,25,China,Curtiss,Curtiss C 47,near wusong jiangsu,China CNAC,3,13,34,12,1946-12-25
1946,Qtr 4,December,28,United States,Douglas,Douglas C 47ANC58024,walshville illinois,Skyways Southern City Kansas,0,2,2,12,1946-12-28
1946,Qtr 4,December,28,India,Douglas,Douglas DC 3 (C,michigan city indiana,Airlines American,0,2,21,12,1946-12-28
1946,Qtr 4,December,28,Unknown,Lockheed,Lockheed 049 ConsellationNC86505,near shannon ireland,Air Western and Continental Trans,0,13,23,12,1946-12-28
1947,Qtr 1,January,3,Brazil,Sikorsky,Sikorsky S 43B (flying boat)PP,sao paulo brazil,Brasil do Panair,0,11,14,1,1947-01-03
1947,Qtr 1,January,5,China,Curtiss,Curtis C 46XT,tsingtao china,Corporation Aviation National China,0,43,43,1,1947-01-05
1947,Qtr 1,January,5,Unknown,Douglas,Douglas DC 3N50046,carmel new,Transport Air JerseyNationwide,0,3,23,1,1947-01-05
1947,Qtr 1,January,11,China,Douglas,Douglas DC 4 (C,off laoag china,Transport Air Eastern Far,0,7,42,1,1947-01-11
1947,Qtr 1,January,11,Unknown,Douglas,Douglas C 47A,near lympne england,Airways Overseas British,0,8,16,1,1947-01-11
1947,Qtr 1,January,12,United States,Douglas,Douglas DC 3NC88872,near galax virginia,Lines Air Eastern,0,18,19,1,1947-01-12
1947,Qtr 1,January,14,Unknown,Lockheed,Lockheed C 60 Lodestar60,near puebla mexico,Force Air Mexican - Military,0,21,21,1,1947-01-14
1947,Qtr 1,January,22,Unknown,Douglas,Douglas DC 3 ( C,puesto araujo colombia,Avianca,0,17,17,1,1947-01-22
1947,Qtr 1,January,25,China,Douglas,Douglas DC 3,chongqing china,Corporation Aviation National China,0,19,19,1,1947-01-25
1947,Qtr 1,January,25,Unknown,Douglas,Douglas C 47API,hong kongphilippine air lines,Unknown,0,4,4,1,1947-01-25
1947,Qtr 1,January,25,United Kingdom,Douglas,Douglas C 47 / Douglas DC,croydon surrey,England Spencer Airways / Ceskoslovenske Aerolinie,0,12,23,1,1947-01-25
1947,Qtr 1,January,26,Unknown,Douglas,Douglas C  C47A,copenhagen denmark,Airlines Dutch Royal KLM,0,22,22,1,1947-01-26
1947,Qtr 1,January,28,China,Curtiss,Curtiss C 46,near hankow china,Corporation Aviation National China,0,25,26,1,1947-01-28
1947,Qtr 1,February,1,Unknown,Douglas,Douglas DC 3CF,near lisbon portugal,France Air,0,19,20,2,1947-02-01
1947,Qtr 1,February,5,United States,Douglas,Douglas DC 3NC54451,harrington delaware,Freight Air International,0,1,3,2,1947-02-05
1947,Qtr 1,February,6,Spain,Douglas,Douglas C 54B,pedro bernardo spain,International Cuba Aerovias,0,11,11,2,1947-02-06
1947,Qtr 1,February,14,United States,Curtiss,Curtiss C 46ENC59486,denver colorado,Airways Slick,0,2,2,2,1947-02-14
1947,Qtr 1,February,15,Unknown,Douglas,Douglas DC 4C,near bogota colombia,Avianca,0,53,53,2,1947-02-15
1947,Qtr 1,February,15,Unknown,Savbia,Savoia  Marchetti SM,off terracina italy,Militari Aerei Corrieri - Military,0,16,16,2,1947-02-15
1947,Qtr 1,February,21,China,Douglas,Douglas C 47,chungking china,Force Air Chinese - Military,0,21,21,2,1947-02-21
1947,Qtr 1,February,26,Unknown,Douglas,Douglas C 47BKK120,china sea pacific,Force Air Royal - OceanMilitary,0,12,12,2,1947-02-26
1947,Qtr 1,March,5,Unknown,Douglas,Doublas C 47CCCP,near georgia ussraeroflot,Unknown,0,23,23,3,1947-03-05
1947,Qtr 1,March,8,Unknown,Douglas,Douglas C 47,cordillera colombia,VIARCO,0,9,9,3,1947-03-08
1947,Qtr 1,March,8,Unknown,Douglas,Douglas C 47BKK122,l'isola di ischia italy,Force Air Royal - Military,0,13,13,3,1947-03-08
1947,Qtr 1,March,14,Unknown,Douglas,Douglas DC 3 (C,mt. moucherolles france,France Air,0,23,23,3,1947-03-14
1947,Qtr 1,March,17,Unknown,Lockheed,Lockheed 18 LodestarYS 28,near medellin colombia,TACA,0,8,8,3,1947-03-17
1947,Qtr 1,March,18,Unknown,Avro,Avro York C1MW198,negombo sri,Force Air Royal - LankaMilitary,0,11,15,3,1947-03-18
1947,Qtr 2,April,8,Unknown,Douglas,Douglas C 47AYV,near caracas venezuela,Venezolana Aeropostal Linea,0,27,27,4,1947-04-08
1947,Qtr 2,April,13,Unknown,Avro,Avro 685 York IG AHEZ,off dakar senegal,Airways American South British,0,6,15,4,1947-04-13
1947,Qtr 2,April,22,Unknown,Douglas,Douglas DC 3 (C,columbus georgia,Lines Air Delta,0,10,10,4,1947-04-22
1947,Qtr 2,April,28,United Kingdom,Lockheed,Lockheed 18 LoadstarCF TDF,near vancouver british,Canada          Columbia Trans Canada Air Lines,0,15,15,4,1947-04-28
1947,Qtr 2,May,4,Costa Rica,Lockheed,Lockheed 18 LoadstarTI 84,near nicoya guanacaste,Costa Rica TACA,0,11,11,5,1947-05-04
1947,Qtr 2,May,11,Unknown,Lockheed,Lockheed L 049 ConstellationNC86508,delaware bay new,Air Western and Continental JerseyTrans,0,4,4,5,1947-05-11
1947,Qtr 2,May,16,Unknown,Douglas,Douglas DC 47CCCP,near khabarovsk russia,Aeroflot,0,22,22,5,1947-05-16
1947,Qtr 2,May,29,Unknown,Douglas,Douglas DC 3TF,hjedinsfjordur iceland,Flugefelag,0,25,25,5,1947-05-29
1947,Qtr 2,May,29,Unknown,Douglas,Douglas C 54D,atsugi japan,Forces Air Army U.S. - Military,0,40,40,5,1947-05-29
1947,Qtr 2,May,29,Unknown,Douglas,Douglas C 54BNC30046,la guardia airport queens,New York United Air Lines,0,43,48,5,1947-05-29
1947,Qtr 2,May,30,United States,Douglas,Douglas C 54B,port deposit maryland,Lines Air Eastern,0,53,53,5,1947-05-30
1947,Qtr 2,June,4,Unknown,Junkers,Junkers Ju 52F,near gemenos france,France Air,0,2,2,6,1947-06-04
1947,Qtr 2,June,11,Brazil,Avro,Avro 691 LancastrianLV ACS,near natal brazil,Argentina Mercante Aérea Flota,0,5,18,6,1947-06-11
1947,Qtr 2,June,13,United States,Douglas,Douglas DC 4 (C,leesburg virginia,Airlines Central Pennsylvania,0,50,50,6,1947-06-13
1947,Qtr 2,June,19,Unknown,Lockheed,Lockheed 049 46,al mayadin syria,Airways World American Pan,0,14,36,6,1947-06-19
1947,Qtr 2,June,21,Unknown,Unknown,Li  2CCCP,black sea gulf,KarkinitskyAeroflot of,0,8,29,6,1947-06-21
1947,Qtr 3,July,1,Unknown,Junkers,Junkers Ju 52/3mF,near eaeka french,France CameroonsAir,0,13,13,7,1947-07-01
1947,Qtr 3,July,13,United States,Douglas,Douglas DC 3NC79024,melbourne florida,Transport Air Burke,0,14,36,7,1947-07-13
1947,Qtr 3,July,15,Unknown,Junkers,Junkers Ju 52/3mF,vichy  cargo,Unknown,0,1,19,7,1947-07-15
1947,Qtr 3,July,16,Unknown,Avro,Avro 685 YorkG AGMR,az-zubair iran,Airways Overseas British,0,6,6,7,1947-07-16
1947,Qtr 3,July,25,Unknown,Avro,Avro 685 York ILV XIH,moron argentina,Argentina Mercante Aérea Flota,2,2,6,7,1947-07-25
1947,Qtr 3,July,31,China,Douglas,Douglas C 47,near yumen china,Force Air Chinese - Military,0,26,26,7,1947-07-31
1947,Qtr 3,August,2,Unknown,Avro,Avro 691 Lancastrian 3G AGWH,andes argentina,Airways American South British,0,11,11,8,1947-08-02
1947,Qtr 3,August,6,Unknown,Consolidated,Consolidated PBY 5A Catalina34032,north pacific oceanmilitary - u.s. navy,Unknown,0,20,20,8,1947-08-06
1947,Qtr 3,August,8,Unknown,Douglas,Douglas DC 3CNX88787,new york new,Airlines YorkAmerican,0,3,5,8,1947-08-08
1947,Qtr 3,August,9,Unknown,Douglas,Douglas DC 3FSE,malmo sweden,Aerotransport AB,0,1,5,8,1947-08-09
1947,Qtr 3,August,13,Unknown,Lisunov,Lisunov Li 2YR,bucharest romania,Romano-Sovietice Aeriene Transporturile,0,3,8,8,1947-08-13
1947,Qtr 3,August,21,United States,Curtiss,Curtiss C 46ENC59488,hanksville utah,Airways Slick,0,3,3,8,1947-08-21
1947,Qtr 3,August,23,Unknown,Short Sandringham,Short Sandringham 5 (flying boat)G AHZB,bahrain persian,Airways Overseas GulfBritish,0,10,26,8,1947-08-23
1947,Qtr 3,August,28,Unknown,Short Sandringham,Short Sandringham (flying boat)LN IAV,harsiad norway,Airlines Norwegian,0,35,35,8,1947-08-28
1947,Qtr 4,October,8,United States,Douglas,Douglas DC 4NC90432,near el paso texas,Airlines American,0,0,54,10,1947-10-08
1947,Qtr 4,October,14,Unknown,Boeing,Boeing 314A NC18612,ocean 800,Airways International NewfoundlandAmerican of east miles,0,0,69,10,1947-10-14
1947,Qtr 4,October,16,Unknown,Douglas,Douglas DC 3,sylva north,CarolinaStratofreight,0,3,3,10,1947-10-16
1947,Qtr 4,October,16,Spain,Bristol,Bristol 170 Freighter IF BCJN,off cartegena spain,Littoral du Aerienne Societe,0,41,43,10,1947-10-16
1947,Qtr 4,October,24,United States,Douglas,Douglas DC 6NC37510,bryce canyon utah,Lines Air United,0,53,53,10,1947-10-24
1947,Qtr 4,October,26,United States,Douglas,Douglas DC 4ANC88920,annette island alaska,Airways World American Pan,0,18,18,10,1947-10-26
1947,Qtr 4,October,26,Unknown,Douglas,Douglas DC 4,near mt. hymettus greece,Aerotransport AB,0,44,44,10,1947-10-26
1947,Qtr 4,October,31,India,Douglas,Douglas C 47BM965,near srinagar india,Force Air Indian Royal - Military,0,25,25,10,1947-10-31
1947,Qtr 4,November,2,Unknown,Douglas,Douglas DC 3,off barrio rizal philippines,Express Air Philippine,0,5,5,11,1947-11-02
1947,Qtr 4,November,11,Unknown,Douglas,Douglas DC 6NC90741,gallup new,Airlines MexicoAmerican,0,0,25,11,1947-11-11
1947,Qtr 4,November,13,Unknown,Junkers,Junkers Ju 52/3mF,near bouchox france,Aérienne Navigation de Auxiliare Société,0,2,2,11,1947-11-13
1947,Qtr 4,November,18,United States,Lockheed,Lockheed L 049,newcastle delaware,Air Western and Continental Trans,0,5,5,11,1947-11-18
1947,Qtr 4,November,18,Unknown,Bristol,Bristol 170 Freighter XISE BNG,ravello italy,Trafik-Turist-Transportflyg,0,20,25,11,1947-11-18
1947,Qtr 4,November,21,Unknown,Lisunov,Lisunov Li 2YR,phouznicie romania,TARS,0,13,26,11,1947-11-21
1947,Qtr 4,November,27,United States,Douglas,Douglas DC 3CNC95486,yakutat alaska,Cargo Air Columbia,0,13,13,11,1947-11-27
1947,Qtr 4,November,27,Unknown,Douglas,Douglas DC 3,?china national aviation corporation,Unknown,0,2,3,11,1947-11-27
1947,Qtr 4,November,27,Serbia,Lisunov,Lisunov LI 2YU,montenegrin mountains yugoslavia,Airlines Yugoslav JAT,0,22,22,11,1947-11-27
1947,Qtr 4,November,28,Unknown,Douglas,Douglas C 47B43,near trappa italy,Force Air U.S. - Military,0,20,20,11,1947-11-28
1947,Qtr 4,November,30,United States,Douglas,Douglas C 54ANC,seattle washington,Airlines Alaska,1,8,28,11,1947-11-30
1947,Qtr 4,December,10,Canada,Douglas,Douglas C 54D,near goose bay labrador,Force Air U.S. - Military,0,23,29,12,1947-12-10
1947,Qtr 4,December,11,United States,Douglas,Douglas C 47,near memphis tennessee,Force Air U.S. - Military,0,20,20,12,1947-12-11
1947,Qtr 4,December,18,Unknown,Ilyushin,Ilyushin IL 12CCCP,krasnoyarsk russia,Aeroflot,0,9,25,12,1947-12-18
1947,Qtr 4,December,23,China,Short Brothers,Short  S 29 Stirling VOO,kunming china,Transport Air,0,25,30,12,1947-12-23
1947,Qtr 4,December,27,India,Douglas,Douglas DC 3 (C,korangi creek india,India Air,0,23,23,12,1947-12-27
1947,Qtr 4,December,28,Unknown,Douglas,Douglas DC 2,leon mexico,Panini Aéreo Servicio,3,5,10,12,1947-12-28
1948,Qtr 1,January,6,Unknown,Vickers Viking,Vickers 610 Viking 1BG AHPK,ruislip england,Airways European British,0,1,18,1,1948-01-06
1948,Qtr 1,January,6,Unknown,Douglas,Douglas DC 3DF,paris france,France Air,0,16,16,1,1948-01-06
1948,Qtr 1,January,7,Unknown,Douglas,Douglas DC 3N60331,near savannah georgia,Lines Air Coastal,0,18,27,1,1948-01-07
1948,Qtr 1,January,8,Unknown,Douglas,Douglas DC 3F,near palestro algeria,T.A. de Algerienne Comp. Transport,0,9,9,1,1948-01-08
1948,Qtr 1,January,11,Unknown,Douglas,Douglas DC 3HI,ciudad havajillo dominican,RepublicDominicana,0,32,32,1,1948-01-11
1948,Qtr 1,January,13,United States,Douglas,Douglas DC 3,oxon hill maryland,Lines Air Eastern,0,5,9,1,1948-01-13
1948,Qtr 1,January,20,China,Curtiss,Curtiss C 46,near mukden china,Corporation Aviation National China,0,11,54,1,1948-01-20
1948,Qtr 1,January,28,United States,Douglas,Douglas DC 3 (C,diablo mts. california,Carriers Transport Airline,0,32,32,1,1948-01-28
1948,Qtr 1,January,30,Unknown,Avro,Avro 688 Tudor IG AHNP,atlantic ocean ne,Airways American South BermudaBritish of,0,31,31,1,1948-01-30
1948,Qtr 1,February,7,United States,Lockheed,Lockheed L 649 ConstellationNC112A,off jacksonville florida,Lines Air Eastern,0,1,69,2,1948-02-07
1948,Qtr 1,February,10,Unknown,Douglas,Douglas DC 3PK,near padalarang indonesia,Airlines Dutch Royal KLM,0,19,19,2,1948-02-10
1948,Qtr 1,February,12,Unknown,Douglas,Douglas DC 3OY,ubrichstein germany,Luftfartselskab Danske Det,0,12,21,2,1948-02-12
1948,Qtr 1,February,20,Unknown,Douglas,Douglas C 47,collesalvetti,Teseo Aerea ItalySocietà,0,7,10,2,1948-02-20
1948,Qtr 1,February,21,Unknown,Latécoère,Latecoere 631 (flying boat)F BDRD,off st. marcouf france,Airlines Latecoere,0,14,14,2,1948-02-21
1948,Qtr 1,February,23,Unknown,Douglas,Douglas DC 3PI,davao philippines,Airways Commercial,0,12,12,2,1948-02-23
1948,Qtr 1,February,25,United States,Douglas,Douglas C 47ANC36498,columbus ohio,Aviation Bruning,0,2,2,2,1948-02-25
1948,Qtr 1,February,27,Brazil,Douglas,Douglas C 472040,near belem brazil,Force Air Brazilian - Military,0,23,26,2,1948-02-27
1948,Qtr 1,March,2,Unknown,Junkers,Junkers Ju 52/3mF,off perpignan france,Aériens Transports de Société,0,4,4,3,1948-03-02
1948,Qtr 1,March,2,United Kingdom,Douglas,Douglas DC 3OO,heathrow airport london,England Sabena,0,20,22,3,1948-03-02
1948,Qtr 1,March,7,Unknown,Avro,Avro AnsonTF RVL,near skalafell iceland,Airlines Icelandic Loftleidir,0,4,4,3,1948-03-07
1948,Qtr 1,March,10,United States,Douglas,Douglas DC 4NC37478,chicago illinois,Lines Air Delta,0,12,13,3,1948-03-10
1948,Qtr 1,March,12,United States,Douglas,Douglas DC 4 (C,mt. sanford alaska,Airlines Orient Northwest,0,30,30,3,1948-03-12
1948,Qtr 1,March,13,Brazil,Douglas,Douglas DC 3PP,sierra cristais brazil,Cruzeiro,0,6,6,3,1948-03-13
1948,Qtr 1,March,15,Unknown,Douglas,Douglas DC 3 (C47,villa pinzon colombia,Aviada de Interamericana Agencia,0,14,14,3,1948-03-15
1948,Qtr 1,March,27,France,Vickers Viking,Vickers 604 Viking 1BVT CEL,monte cardo corsica,France Indian National Airlines,0,19,19,3,1948-03-27
1948,Qtr 2,April,5,Unknown,Vickers Viking,Vickers Viking 1B & Soviet YAK 3 fighterG,near berlin germany,Force Air Soviet - Military / Airways European British,0,14,14,4,1948-04-05
1948,Qtr 2,April,10,Unknown,Douglas,Douglas DC 4F,kano nigeria,France Air,0,1,6,4,1948-04-10
1948,Qtr 2,April,15,Unknown,Lockheed,Lockheed L 049,shannon ireland,Airways World American Pan,0,30,31,4,1948-04-15
1948,Qtr 2,April,18,Unknown,Lockheed,Lockheed Hudson IIIAVH ALA,territory of new guineanew guinea air traders,Unknown,0,37,37,4,1948-04-18
1948,Qtr 2,April,24,Unknown,Lisunov,Lisnov Li 2CCCP,near irkutsk russiaaeroflot,Unknown,0,28,29,4,1948-04-24
1948,Qtr 2,May,13,Unknown,Douglas,Douglas DC 4,near magazini belgian,(Zaire)Sabena Congo,0,31,32,5,1948-05-13
1948,Qtr 2,May,13,Unknown,De Havilland,de Havilland Dove 1G AJOU,mount coron france,London of Skyways,0,4,4,5,1948-05-13
1948,Qtr 2,May,15,Unknown,Douglas,Douglas DC 3,vrede south,Aviation AfricaMercury,0,13,13,5,1948-05-15
1948,Qtr 2,May,16,United States,Curtiss,Curtiss C 46ENC59489,columbus ohio,Airways Slick,0,2,2,5,1948-05-16
1948,Qtr 2,May,20,Unknown,Douglas,Douglas C 47AG,near bovingdon england,Charter Transport Air,0,3,4,5,1948-05-20
1948,Qtr 2,May,22,Unknown,Douglas,Douglas C 47 CCCP,khabarovsk russia,Aeroflot,0,8,9,5,1948-05-22
1948,Qtr 2,May,25,Spain,Handley Page,Handley Page Halifax C 8G,albacete spain,Airways Alpha,1,4,4,5,1948-05-25
1948,Qtr 2,June,10,Unknown,De Havilland,de Havilland DH 89A Dragon RapideG,isle of manhargreaves airways,Unknown,0,6,8,6,1948-06-10
1948,Qtr 2,June,17,China,Consolidated PBY Catalina,PBY Catalina,over the pearl river china,Pacific Cathy,0,25,26,6,1948-06-17
1948,Qtr 2,June,17,United States,Douglas,Douglas DC 6NC37506,mount carmel pennsylvania,Lines Air United,0,43,43,6,1948-06-17
1948,Qtr 2,June,26,Unknown,Douglas,Douglas DC 3YV,maiquetia venezuela,Venezolana Aeropostal Linea,0,1,17,6,1948-06-26
